"filename", "language", "Markdown", "XML", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "JavaScript JSX", "PostCSS", "TypeScript JSX", "Dotenv", "HTML", "comment", "blank", "total"
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\components\Overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 7, 73
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\components\PreStudy.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\components\Question.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 5, 51
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\components\RecommendedLecture.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\components\Review.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 1, 9, 156
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\components\RoundedIconButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\components\SecondButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\components\SquareLoader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 4, 9, 78
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\components\ThemeTextInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\components\Timer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 9, 22, 102
